location_id,year,latitude,longitude
1,1920,22.044913,-159.532471
1,1928,22.044913,-159.532471
1,1929,22.044913,-159.532471
1,1930,22.044913,-159.532471
1,1931,22.044913,-159.532471
1,1936,22.044913,-159.532471
1,1942,22.044913,-159.532471
1,1945,22.044913,-159.532471
1,1946,22.044913,-159.532471
1,1950,22.044913,-159.532471
1,1953,22.044913,-159.532471
1,1955,22.044913,-159.532471
1,1956,22.044913,-159.532471
1,1957,22.044913,-159.532471
1,1958,22.044913,-159.532471
1,1959,22.044913,-159.532471
1,1960,22.044913,-159.532471
1,1961,22.044913,-159.532471
1,1962,22.044913,-159.532471
1,1963,22.044913,-159.532471
1,1964,22.044913,-159.532471
1,1965,22.044913,-159.532471
1,1966,22.044913,-159.532471
1,1967,22.044913,-159.532471
1,1968,22.044913,-159.532471
1,1969,22.044913,-159.532471
1,1970,22.044913,-159.532471
1,1971,22.044913,-159.532471
1,1972,22.044913,-159.532471
1,1973,22.044913,-159.532471
1,1974,22.044913,-159.532471
1,1975,22.044913,-159.532471
1,1976,22.044913,-159.532471
1,1977,22.044913,-159.532471
1,1978,22.044913,-159.532471
1,1979,22.044913,-159.532471
1,1980,22.044913,-159.532471
1,1981,22.044913,-159.532471
1,1982,22.044913,-159.532471
1,1983,22.044913,-159.532471
1,1984,22.044913,-159.532471
1,1985,22.044913,-159.532471
1,1986,22.044913,-159.532471
1,1987,22.044913,-159.532471
1,1988,22.044913,-159.532471
1,1989,22.044913,-159.532471
1,1990,22.044913,-159.532471
1,1991,22.044913,-159.532471
1,1992,22.044913,-159.532471
1,1993,22.044913,-159.532471
1,1994,22.044913,-159.532471
1,1995,22.044913,-159.532471
1,1996,22.044913,-159.532471
1,1997,22.044913,-159.532471
1,1998,22.044913,-159.532471
1,1999,22.044913,-159.532471
1,2000,22.044913,-159.532471
1,2001,22.044913,-159.532471
1,2002,22.044913,-159.532471
1,2003,22.044913,-159.532471
1,2004,22.044913,-159.532471
1,2005,22.044913,-159.532471
1,2006,22.044913,-159.532471
1,2007,22.044913,-159.532471
1,2008,22.044913,-159.532471
1,2009,22.044913,-159.532471
1,2010,22.044913,-159.532471
1,2011,22.044913,-159.532471
1,2012,22.044913,-159.532471
1,2013,22.044913,-159.532471
1,2014,22.044913,-159.532471
1,2015,22.044913,-159.532471
1,2016,22.044913,-159.532471
1,2017,22.044913,-159.532471
1,2018,22.044913,-159.532471
1,2019,22.044913,-159.532471
1,2020,22.044913,-159.532471
1,2021,22.044913,-159.532471
2,1977,26.664641,-99.188004
2,1978,26.664641,-99.188004
2,1979,26.664641,-99.188004
2,1980,26.664641,-99.188004
2,1981,26.664641,-99.188004
2,1982,26.664641,-99.188004
2,1983,26.664641,-99.188004
2,1984,26.664641,-99.188004
2,1985,26.664641,-99.188004
2,1986,26.664641,-99.188004
2,1987,26.664641,-99.188004
2,1988,26.664641,-99.188004
2,1989,26.664641,-99.188004
2,1990,26.664641,-99.188004
2,1991,26.664641,-99.188004
2,1992,26.664641,-99.188004
2,1993,26.664641,-99.188004
